Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<R>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1264.729,1290.95,1172.997,1192.007,935.337,1027.514,1034.496,1032.243,1092.234,936.583,818.387,1506.205,2560.082,2568.953,2559.541,2572.739,2568.776,2584.284,2609.952,2689.343,2802.473
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",673.395,755.243,873.152,831.591,745.192,1110.349,1722.858,1606.864,1488.077,1745.327,1985.6290000000001,1947.288,1908.058,1772.655,1622.6709999999998,1607.373,1613.084,1428.663,1831.886,1405.442,1329.556
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",611.802,662.846,616.553,641.303,664.592,592.1370000000001,581.705,715.604,684.116,670.554,693.0690000000001,690.4090000000001,711.45,649.423,646.727,538.1,415.921,324.936,368.554,362.332,380.14
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,200.233,205.748,219.953,221.843,250.297,257.982,186.36,235.772,269.081,287.137,368.264,396.792,369.596,371.349,229.586,146.388,147.349,150.594,185.426,188.225,165.656
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,411.87800000000004,414.83000000000004,420.621,422.98800000000006,440.108,468.755,452.71200000000005,467.09700000000004,458.795,458.046,434.824,462.067,464.911,450.988,440.519,459.679,402.414,408.917,438.903,425.909,473.332
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,9391.974,9241.471,8957.912,9307.771,9810.907,8970.376,9405.946,9360.058,9385.100999999999,9638.727,10186.595,10303.471,10708.411,10392.966,11113.859,11600.711,10567.354,9755.597,11301.259,11831.729,11821.742
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,6086.766,6680.699,5499.084,6186.59,6545.741,5025.663,4524.74,5910.154,6526.463,6571.977,6269.291,6985.007,7761.914,7777.808,7506.396,7133.759,6948.406,6500.165,6950.364,6698.766,7561.89
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,1325.905,1266.2069999999999,1533.485,1569.6109999999999,1489.261,1416.762,1269.4370000000001,1373.549,1461.6009999999999,1156.922,1116.99,1303.645,1430.0720000000001,1530.0259999999998,1474.218,1151.243,1021.115,1202.292,1575.255,1537.72,1428.238
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",13741.035,15685.241,18279.746,16720.028,20031.915,16735.990999999998,12131.836000000001,15449.834,22828.643,26580.992000000002,29262.933,28290.979,27305.867,29628.382,28531.527000000002,21122.552,17476.651,13453,14532.371,10378.194,12029.727
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",286.604,279.154,306.85,289.652,305.758,292.811,274.809,298.469,322.546,326.953,317.277,298.943,321.788,304.167,283.219,285.331,274.78,257.009,271.483,261.736,239.614
